                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.27794,                0.21021,                 0.8019,                0.99999,                      1,                  0.995,                0.99262,                0.09202,                0.08684,                0.70141,               0.002674,               0.002674,               0.002674
                     39,                0.27351,                0.21017,                 0.8026,                0.99999,                      1,                  0.995,                0.99257,                0.09307,                0.08571,                0.70052,               0.002476,               0.002476,               0.002476
                     40,                0.26937,                0.20663,                0.80042,                0.99999,                      1,                  0.995,                0.99334,                0.08923,                0.08532,                0.70042,               0.002278,               0.002278,               0.002278
                     41,                0.18362,                0.13976,                0.76385,                0.99999,                      1,                  0.995,                0.99359,                0.08407,                0.08914,                0.70078,                0.00208,                0.00208,                0.00208
                     42,                0.17478,                0.13375,                0.76499,                0.99999,                      1,                  0.995,                0.99371,                0.08321,                0.08142,                0.70026,               0.001882,               0.001882,               0.001882
                     43,                0.16739,                 0.1301,                0.76436,                0.99999,                      1,                  0.995,                0.99384,                0.08273,                0.08295,                0.70034,               0.001684,               0.001684,               0.001684
                     44,                0.16172,                0.12576,                 0.7631,                0.99999,                      1,                  0.995,                 0.9939,                0.08071,                0.08471,                0.69932,               0.001486,               0.001486,               0.001486
                     45,                0.15567,                0.12172,                0.76238,                0.99999,                      1,                  0.995,                  0.994,                0.08011,                0.08404,                0.69938,               0.001288,               0.001288,               0.001288
                     46,                0.14901,                0.11624,                0.76074,                0.99999,                      1,                  0.995,                0.99419,                0.08069,                0.08453,                0.69939,                0.00109,                0.00109,                0.00109
                     47,                0.14394,                0.11334,                0.76147,                0.99999,                      1,                  0.995,                0.99384,                0.08125,                0.08524,                0.69938,               0.000892,               0.000892,               0.000892
