                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7334,                 3.6322,                 1.3659,                0.61906,                0.70852,                0.57307,                0.20169,                 2.0686,                 3.0027,                 1.8768,              0.0033323,              0.0033323,              0.0033323
                      2,                  1.243,                 1.8167,                 1.0629,                0.61507,                0.13637,                0.21517,                0.05678,                  2.046,                 2.9614,                 1.9599,              0.0066327,              0.0066327,              0.0066327
                      3,                 1.1462,                 1.2806,                 1.0189,                0.90349,                0.82375,                0.81799,                0.41746,                 1.7841,                 1.5777,                 1.5416,                 0.0099,                 0.0099,                 0.0099
                      4,                 1.0861,                 1.0001,                0.99219,                 0.9947,                0.71429,                0.82999,                0.40334,                 1.9215,                 1.5441,                 1.5927,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0089,                0.85242,                0.96153,                 0.0338,                0.09462,                0.01854,                0.00708,                 2.4323,                  4.993,                 2.0039,               0.009802,               0.009802,               0.009802
                      6,                0.93918,                0.74924,                0.92953,                 0.0338,                0.09462,                0.01854,                0.00708,                 3.4905,                 5.7478,                 2.5704,              0.0097525,              0.0097525,              0.0097525
                      7,                0.86162,                0.69205,                0.91366,                0.99795,                      1,                  0.995,                0.69983,                  0.965,                0.59775,                0.92926,               0.009703,               0.009703,               0.009703
                      8,                0.81695,                 0.6431,                 0.9013,                0.98514,                0.98411,                0.98786,                0.71224,                0.96756,                0.63948,                0.93412,              0.0096535,              0.0096535,              0.0096535
                      9,                0.77381,                0.60078,                0.87796,                0.34471,                0.46066,                0.31814,                  0.172,                 1.6674,                 2.7005,                 1.4956,               0.009604,               0.009604,               0.009604
                     10,                0.74762,                0.60318,                0.87946,                0.99384,                      1,                0.99498,                0.74947,                0.95105,                 0.5969,                0.91149,              0.0095545,              0.0095545,              0.0095545
                     11,                0.70105,                0.57228,                0.87179,                0.90444,                0.77922,                0.87725,                0.54952,                 1.6044,                 1.4781,                 1.6651,               0.009505,               0.009505,               0.009505
                     12,                0.67342,                0.54977,                0.85791,                 0.0752,                0.06865,                0.04019,                0.01251,                 2.7946,                 6.2665,                 2.6385,              0.0094555,              0.0094555,              0.0094555
                     13,                0.66424,                0.53785,                 0.8491,                0.70877,                0.79016,                0.70183,                0.49627,                 1.2921,                 1.6234,                  1.241,               0.009406,               0.009406,               0.009406
                     14,                0.65036,                0.53831,                0.85271,                0.87713,                0.88126,                0.88431,                0.63299,                 1.2329,                 1.0372,                 1.2071,              0.0093565,              0.0093565,              0.0093565
                     15,                0.61694,                0.50146,                0.84156,                0.99922,                      1,                  0.995,                0.76433,                0.86166,                0.45903,                 0.8877,               0.009307,               0.009307,               0.009307
                     16,                0.59732,                 0.4942,                0.84445,                0.99517,                      1,                  0.995,                0.79657,                0.82167,                0.44769,                0.86904,              0.0092575,              0.0092575,              0.0092575
                     17,                0.58774,                0.49471,                0.83319,                      1,                0.19666,                0.59832,                0.35375,                 1.8982,                 5.3987,                  1.563,               0.009208,               0.009208,               0.009208
                     18,                0.58305,                0.47823,                0.83364,                0.99986,                      1,                  0.995,                0.75994,                0.82523,                0.44239,                0.89079,              0.0091585,              0.0091585,              0.0091585
                     19,                0.56188,                0.46786,                0.82458,                0.86525,                0.45269,                0.68805,                0.39559,                 1.6832,                 3.8874,                 1.4869,               0.009109,               0.009109,               0.009109
                     20,                  0.573,                0.48187,                0.83175,                0.73582,                 0.8423,                0.84473,                0.57294,                 1.3784,                  1.842,                 1.2187,              0.0090595,              0.0090595,              0.0090595
                     21,                0.55016,                0.45947,                0.82834,                0.99984,                      1,                  0.995,                0.77655,                0.82404,                0.41856,                 0.8837,                0.00901,                0.00901,                0.00901
                     22,                0.54671,                0.46064,                0.83089,                 0.9478,                0.64007,                0.80912,                0.54794,                 1.6645,                 2.7801,                 1.6217,              0.0089605,              0.0089605,              0.0089605
                     23,                0.53216,                0.45924,                0.82103,                0.99422,                0.99443,                0.99447,                0.82123,                0.71549,                0.38272,                0.85054,               0.008911,               0.008911,               0.008911
                     24,                0.52138,                0.45055,                0.82156,                 0.5983,                0.78479,                0.80189,                0.50743,                 1.5103,                  2.505,                 1.2279,              0.0088615,              0.0088615,              0.0088615
                     25,                0.51105,                0.45147,                0.82063,                0.99398,                      1,                0.99498,                0.78003,                 0.7866,                0.43572,                0.86845,               0.008812,               0.008812,               0.008812
                     26,                0.50656,                 0.4387,                0.82371,                0.99072,                 0.9903,                0.99474,                0.80471,                0.76393,                0.41019,                0.86201,              0.0087625,              0.0087625,              0.0087625
                     27,                0.48363,                0.41479,                0.80983,                0.99985,                      1,                  0.995,                0.78455,                0.91877,                0.44329,                0.90117,               0.008713,               0.008713,               0.008713
                     28,                0.48751,                 0.4278,                0.81113,                0.97866,                0.97959,                0.98696,                0.80772,                0.75345,                0.39008,                0.85551,              0.0086635,              0.0086635,              0.0086635
                     29,                0.49449,                0.42229,                0.82046,                0.98318,                0.99629,                0.98592,                0.80067,                0.83364,                  0.468,                0.88078,               0.008614,               0.008614,               0.008614
                     30,                0.48284,                0.41264,                0.81845,                0.97818,                0.91484,                0.96662,                0.68612,                 1.2019,                0.79754,                 1.0404,              0.0085645,              0.0085645,              0.0085645
                     31,                0.47412,                  0.408,                0.81039,                0.94473,                0.95132,                0.97961,                0.78087,                0.89976,                0.53959,                0.90905,               0.008515,               0.008515,               0.008515
                     32,                 0.4699,                 0.3986,                0.81413,                0.93392,                0.61596,                0.78771,                0.59089,                 1.5253,                 1.3971,                 1.5594,              0.0084655,              0.0084655,              0.0084655
                     33,                0.45966,                0.40275,                 0.8105,                0.99883,                0.97959,                0.99467,                0.82129,                0.72987,                0.41471,                0.85148,               0.008416,               0.008416,               0.008416
