                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4254,                 2.0882,                 1.3274,                0.89277,                0.95765,                0.95096,                0.63093,                  1.205,                0.88704,                 1.1078,              0.0033242,              0.0033242,              0.0033242
                      2,                0.78576,                0.70527,                0.95746,                0.87692,                0.84601,                0.84523,                 0.4595,                 1.7704,                 1.0813,                 1.6441,              0.0065916,              0.0065916,              0.0065916
                      3,                0.73446,                0.55604,                0.93849,                0.12723,                0.16141,                0.14191,                0.04925,                 2.5206,                 3.8963,                 3.2179,               0.009793,               0.009793,               0.009793
                      4,                0.66398,                0.48743,                0.91497,                0.82083,                0.79045,                0.79972,                0.64022,                 1.0756,                 1.2045,                 1.1919,               0.009703,               0.009703,               0.009703
                      5,                0.55465,                0.41234,                0.87938,                0.97179,                0.95871,                0.98687,                0.78242,                  0.784,                0.51267,                0.96765,               0.009604,               0.009604,               0.009604
                      6,                0.49626,                0.37994,                0.86564,                0.99976,                      1,                  0.995,                0.92716,                0.36671,                0.23109,                 0.7919,               0.009505,               0.009505,               0.009505
                      7,                0.45849,                0.35794,                0.85625,                0.98129,                 0.9733,                0.99319,                0.90935,                0.47214,                0.37288,                0.81069,               0.009406,               0.009406,               0.009406
                      8,                0.43081,                0.34607,                 0.8495,                0.99971,                      1,                  0.995,                0.88429,                0.54183,                0.30315,                0.82024,               0.009307,               0.009307,               0.009307
                      9,                0.40962,                0.33035,                0.84401,                0.60533,                0.27273,                0.40471,                0.30669,                 1.5539,                 2.8667,                 1.6764,               0.009208,               0.009208,               0.009208
                     10,                0.38516,                 0.3164,                0.83804,                0.99981,                      1,                  0.995,                0.93112,                0.40902,                0.24837,                 0.7914,               0.009109,               0.009109,               0.009109
                     11,                0.37252,                0.30857,                0.83556,                0.20294,                0.48609,                0.30809,                 0.1623,                 2.1347,                 3.0678,                 2.0635,                0.00901,                0.00901,                0.00901
                     12,                0.35791,                0.30185,                0.83365,                0.99976,                      1,                  0.995,                0.94927,                0.34292,                0.22419,                 0.7838,               0.008911,               0.008911,               0.008911
                     13,                0.34894,                0.29354,                0.83056,                0.85331,                 0.8418,                 0.7878,                0.71887,                0.66034,                0.50444,                 1.3212,               0.008812,               0.008812,               0.008812
                     14,                 0.3419,                0.29057,                0.82995,                0.99949,                      1,                  0.995,                0.95526,                0.28173,                0.22351,                0.76377,               0.008713,               0.008713,               0.008713
                     15,                0.32911,                0.28319,                0.82767,                0.99989,                      1,                  0.995,                0.97233,                0.22543,                 0.1591,                0.76331,               0.008614,               0.008614,               0.008614
                     16,                0.32149,                0.27784,                0.82438,                      1,                      1,                  0.995,                0.97029,                0.22677,                0.16497,                0.75761,               0.008515,               0.008515,               0.008515
                     17,                 0.3146,                0.27595,                0.82384,                0.99989,                      1,                  0.995,                0.97632,                0.22283,                0.15886,                0.75357,               0.008416,               0.008416,               0.008416
                     18,                0.30548,                0.26599,                0.82345,                0.99989,                      1,                  0.995,                0.97682,                0.21564,                0.14099,                0.75258,               0.008317,               0.008317,               0.008317
