                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5785,                 1.6097,                 1.1315,                0.99997,                      1,                  0.995,                0.70575,                  1.068,                0.46742,                0.94582,               0.003328,               0.003328,               0.003328
                      2,                 1.0791,                0.59564,                  0.971,                0.99997,                      1,                  0.995,                0.79975,                0.73885,                0.43084,                0.82079,              0.0065954,              0.0065954,              0.0065954
                      3,                0.94262,                0.55822,                0.94163,                0.99998,                      1,                  0.995,                0.83949,                0.61283,                0.39982,                 0.7871,              0.0097968,              0.0097968,              0.0097968
                      4,                0.83946,                0.51627,                0.91804,                0.99909,                0.99912,                0.99499,                0.89813,                0.51488,                0.30485,                0.76383,               0.009703,               0.009703,               0.009703
                      5,                0.71381,                0.44877,                0.88871,                0.97046,                0.97105,                0.98556,                0.91403,                0.41849,                0.32256,                0.73664,               0.009604,               0.009604,               0.009604
                      6,                0.63733,                0.41002,                 0.8704,                0.99999,                      1,                  0.995,                0.95582,                0.32005,                0.22856,                0.73308,               0.009505,               0.009505,               0.009505
                      7,                0.58953,                0.38743,                0.86041,                0.99912,                0.99929,                  0.995,                0.95807,                0.29508,                0.22992,                0.72333,               0.009406,               0.009406,               0.009406
                      8,                0.55441,                0.36601,                0.85365,                0.99999,                      1,                  0.995,                0.95925,                0.25529,                0.20908,                  0.722,               0.009307,               0.009307,               0.009307
                      9,                0.51983,                0.34568,                0.84456,                0.99999,                      1,                  0.995,                0.96781,                0.25043,                0.18261,                0.71725,               0.009208,               0.009208,               0.009208
                     10,                0.49682,                0.33808,                0.84375,                0.99999,                      1,                  0.995,                0.98379,                0.23101,                0.18393,                0.71402,               0.009109,               0.009109,               0.009109
                     11,                0.46962,                0.32325,                0.83713,                0.99999,                      1,                  0.995,                0.98316,                0.22635,                0.17068,                0.71626,                0.00901,                0.00901,                0.00901
                     12,                0.44994,                0.31102,                 0.8334,                 0.9996,                0.99965,                  0.995,                0.98133,                0.24256,                0.20136,                 0.7139,               0.008911,               0.008911,               0.008911
                     13,                0.44211,                0.30691,                  0.834,                 0.9972,                0.99996,                  0.995,                0.97964,                0.21472,                0.17357,                0.71355,               0.008812,               0.008812,               0.008812
                     14,                0.42925,                 0.3009,                0.82994,                0.99999,                      1,                  0.995,                0.98896,                 0.1856,                0.15954,                0.71289,               0.008713,               0.008713,               0.008713
                     15,                0.41653,                0.29242,                0.82698,                0.99999,                      1,                  0.995,                0.99026,                0.17944,                0.16351,                0.70907,               0.008614,               0.008614,               0.008614
                     16,                0.40798,                0.28723,                0.82621,                0.99999,                      1,                  0.995,                0.97032,                0.21965,                0.14247,                0.71501,               0.008515,               0.008515,               0.008515
                     17,                 0.3986,                0.28519,                0.82552,                0.99999,                      1,                  0.995,                0.99174,                0.15607,                0.15381,                0.70985,               0.008416,               0.008416,               0.008416
                     18,                0.38816,                0.27711,                0.82226,                0.99999,                      1,                  0.995,                   0.99,                0.16034,                0.13872,                0.70956,               0.008317,               0.008317,               0.008317
                     19,                0.37874,                0.27128,                0.81921,                      1,                      1,                  0.995,                0.99239,                0.15029,                0.14872,                0.70625,               0.008218,               0.008218,               0.008218
                     20,                0.37349,                0.27012,                0.81998,                0.99999,                      1,                  0.995,                0.99105,                0.14618,                0.14228,                0.70858,               0.008119,               0.008119,               0.008119
                     21,                0.37063,                0.27224,                0.81954,                0.99999,                      1,                  0.995,                  0.993,                0.13514,                0.14276,                 0.7083,                0.00802,                0.00802,                0.00802
                     22,                0.36076,                0.26478,                0.81509,                0.99999,                      1,                  0.995,                0.99165,                0.14372,                0.12993,                0.70375,               0.007921,               0.007921,               0.007921
                     23,                0.35825,                0.26121,                0.81613,                0.99999,                      1,                  0.995,                0.99248,                0.14147,                0.11894,                0.70472,               0.007822,               0.007822,               0.007822
                     24,                0.34974,                0.25645,                0.81697,                      1,                      1,                  0.995,                0.99234,                0.11795,                0.10575,                0.70379,               0.007723,               0.007723,               0.007723
                     25,                0.34555,                0.25546,                0.81567,                0.99999,                      1,                  0.995,                0.99257,                0.11306,                0.11061,                0.70363,               0.007624,               0.007624,               0.007624
                     26,                0.34458,                0.25607,                0.81525,                0.99999,                      1,                  0.995,                0.99379,                0.11266,                0.11417,                 0.7052,               0.007525,               0.007525,               0.007525
                     27,                0.33436,                0.24682,                0.81308,                0.99999,                      1,                  0.995,                0.99417,                0.12225,                0.10813,                0.70736,               0.007426,               0.007426,               0.007426
                     28,                 0.3345,                0.24828,                 0.8135,                0.99999,                      1,                  0.995,                 0.9937,                0.11519,                0.10185,                0.70395,               0.007327,               0.007327,               0.007327
                     29,                0.33235,                0.24579,                0.81107,                0.99999,                      1,                  0.995,                0.99408,                0.11357,                0.10261,                0.70453,               0.007228,               0.007228,               0.007228
                     30,                0.32945,                0.24342,                0.81168,                0.99999,                      1,                  0.995,                 0.9948,                0.09747,                0.10225,                0.70486,               0.007129,               0.007129,               0.007129
                     31,                0.32514,                0.24142,                0.81233,                0.99999,                      1,                  0.995,                0.99439,                0.09801,                0.09953,                0.70407,                0.00703,                0.00703,                0.00703
                     32,                0.31954,                0.23933,                0.80983,                0.99999,                      1,                  0.995,                0.99424,                0.09501,                0.09915,                 0.7033,               0.006931,               0.006931,               0.006931
                     33,                 0.3165,                 0.2358,                0.80973,                0.99999,                      1,                  0.995,                0.99432,                 0.0968,                0.10029,                0.70372,               0.006832,               0.006832,               0.006832
                     34,                0.31663,                 0.2349,                0.80981,                      1,                      1,                  0.995,                0.99472,                0.08429,                0.10504,                0.70126,               0.006733,               0.006733,               0.006733
                     35,                0.31011,                0.23293,                0.80978,                0.99999,                      1,                  0.995,                0.99461,                 0.0866,                0.10068,                0.70284,               0.006634,               0.006634,               0.006634
                     36,                0.30628,                0.22792,                0.80724,                0.99999,                      1,                  0.995,                0.99455,                0.08925,                 0.1039,                0.70341,               0.006535,               0.006535,               0.006535
                     37,                0.30571,                0.22904,                0.80855,                0.99999,                      1,                  0.995,                0.99485,                0.08625,                0.09202,                 0.7036,               0.006436,               0.006436,               0.006436
                     38,                0.30477,                0.22802,                0.80895,                0.99999,                      1,                  0.995,                0.99423,                 0.0926,                0.09327,                0.70307,               0.006337,               0.006337,               0.006337
                     39,                0.30166,                0.22891,                0.80715,                0.99999,                      1,                  0.995,                0.99411,                0.09998,                0.10231,                0.70333,               0.006238,               0.006238,               0.006238
                     40,                0.29756,                0.22516,                0.80761,                0.99999,                      1,                  0.995,                0.99433,                0.09805,                0.09559,                0.70476,               0.006139,               0.006139,               0.006139
                     41,                0.29588,                0.22198,                0.80672,                0.99999,                      1,                  0.995,                 0.9942,                 0.0971,                0.09398,                0.70257,                0.00604,                0.00604,                0.00604
                     42,                0.29263,                0.22048,                0.80588,                0.99999,                      1,                  0.995,                0.99491,                0.09436,                0.09575,                0.70232,               0.005941,               0.005941,               0.005941
                     43,                0.28979,                0.21896,                0.80474,                0.99999,                      1,                  0.995,                 0.9949,                0.09413,                0.08762,                0.70176,               0.005842,               0.005842,               0.005842
                     44,                0.28763,                0.21677,                0.80401,                0.99999,                      1,                  0.995,                 0.9949,                0.09246,                0.08879,                0.70116,               0.005743,               0.005743,               0.005743
                     45,                0.28173,                0.21308,                0.80178,                0.99999,                      1,                  0.995,                0.99492,                0.09274,                0.09233,                0.70159,               0.005644,               0.005644,               0.005644
                     46,                0.28556,                0.21527,                0.80443,                0.99999,                      1,                  0.995,                0.99492,                0.09135,                0.09592,                0.70204,               0.005545,               0.005545,               0.005545
                     47,                0.28147,                0.21428,                0.80307,                0.99999,                      1,                  0.995,                0.99493,                0.08955,                0.09125,                0.70155,               0.005446,               0.005446,               0.005446
                     48,                 0.2798,                0.21449,                0.80259,                0.99999,                      1,                  0.995,                0.99496,                0.08739,                0.08933,                0.70122,               0.005347,               0.005347,               0.005347
                     49,                0.27616,                0.20988,                0.80238,                0.99999,                      1,                  0.995,                0.99495,                0.08643,                0.08426,                0.70148,               0.005248,               0.005248,               0.005248
                     50,                0.27274,                0.20824,                0.80256,                0.99999,                      1,                  0.995,                0.99494,                0.08499,                0.08222,                0.70161,               0.005149,               0.005149,               0.005149
                     51,                0.27011,                0.20771,                0.80122,                0.99999,                      1,                  0.995,                0.99494,                0.08501,                0.08235,                 0.7017,                0.00505,                0.00505,                0.00505
                     52,                0.27128,                0.20673,                0.80255,                      1,                      1,                  0.995,                0.99494,                0.08421,                0.08261,                0.70145,               0.004951,               0.004951,               0.004951
                     53,                 0.2669,                0.20439,                 0.7995,                0.99999,                      1,                  0.995,                0.99495,                0.08344,                0.08312,                0.70093,               0.004852,               0.004852,               0.004852
                     54,                 0.2646,                0.20465,                0.79926,                      1,                      1,                  0.995,                0.99495,                0.08329,                0.08479,                0.70026,               0.004753,               0.004753,               0.004753
                     55,                0.26254,                0.20455,                0.80041,                0.99999,                      1,                  0.995,                0.99494,                0.08236,                0.08472,                 0.7001,               0.004654,               0.004654,               0.004654
                     56,                0.26263,                0.20577,                0.80005,                0.99999,                      1,                  0.995,                0.99494,                0.08201,                0.08333,                 0.7002,               0.004555,               0.004555,               0.004555
                     57,                0.25908,                0.20023,                0.79896,                0.99999,                      1,                  0.995,                0.99494,                0.08147,                0.08163,                0.70034,               0.004456,               0.004456,               0.004456
                     58,                0.25705,                0.20002,                0.79767,                0.99999,                      1,                  0.995,                0.99494,                0.08087,                0.08079,                0.70044,               0.004357,               0.004357,               0.004357
                     59,                0.25647,                 0.1995,                0.80064,                0.99999,                      1,                  0.995,                0.99494,                0.08047,                0.08045,                0.70036,               0.004258,               0.004258,               0.004258
                     60,                0.25018,                0.19628,                0.79867,                      1,                      1,                  0.995,                0.99494,                0.08013,                0.07933,                0.70046,               0.004159,               0.004159,               0.004159
                     61,                0.24939,                0.19463,                0.79993,                      1,                      1,                  0.995,                0.99492,                0.08015,                0.07866,                0.70055,                0.00406,                0.00406,                0.00406
                     62,                0.24721,                0.19338,                0.79742,                      1,                      1,                  0.995,                0.99493,                0.07982,                0.07783,                0.70056,               0.003961,               0.003961,               0.003961
                     63,                0.24318,                0.19234,                0.79746,                      1,                      1,                  0.995,                0.99491,                0.07986,                0.07735,                0.70052,               0.003862,               0.003862,               0.003862
                     64,                0.24381,                0.19228,                  0.798,                      1,                      1,                  0.995,                0.99493,                 0.0796,                0.07712,                0.70049,               0.003763,               0.003763,               0.003763
                     65,                0.24166,                  0.191,                0.79482,                      1,                      1,                  0.995,                0.99494,                0.07972,                0.07694,                0.70038,               0.003664,               0.003664,               0.003664
                     66,                0.23946,                0.18968,                0.79724,                      1,                      1,                  0.995,                0.99495,                0.07949,                0.07659,                0.70025,               0.003565,               0.003565,               0.003565
                     67,                0.24052,                0.18711,                0.79664,                      1,                      1,                  0.995,                0.99495,                 0.0787,                0.07597,                0.70015,               0.003466,               0.003466,               0.003466
                     68,                0.23542,                0.18456,                0.79491,                      1,                      1,                  0.995,                0.99494,                0.07856,                  0.076,                0.70004,               0.003367,               0.003367,               0.003367
                     69,                0.23343,                0.18327,                0.79589,                      1,                      1,                  0.995,                0.99494,                 0.0785,                0.07579,                0.69997,               0.003268,               0.003268,               0.003268
                     70,                0.23247,                0.18421,                0.79496,                      1,                      1,                  0.995,                0.99495,                0.07814,                0.07558,                0.69994,               0.003169,               0.003169,               0.003169
                     71,                0.22943,                 0.1805,                0.79459,                      1,                      1,                  0.995,                0.99496,                0.07826,                0.07516,                0.69993,                0.00307,                0.00307,                0.00307
                     72,                0.23067,                 0.1819,                0.79606,                      1,                      1,                  0.995,                0.99495,                 0.0783,                0.07525,                0.69991,               0.002971,               0.002971,               0.002971
