                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4254,                 2.0882,                 1.3274,                0.89277,                0.95765,                0.95096,                0.63093,                  1.205,                0.88704,                 1.1078,              0.0033242,              0.0033242,              0.0033242
                      2,                0.78576,                0.70624,                0.95716,                0.63964,                0.63227,                0.64992,                0.27163,                 1.9894,                 1.9026,                 1.9732,              0.0065257,              0.0065257,              0.0065257
                      3,                0.73069,                0.55364,                0.93586,                0.81392,                0.78479,                0.86012,                0.41031,                 1.8081,                 1.2067,                 1.7043,              0.0095952,              0.0095952,              0.0095952
                      4,                0.65354,                0.48289,                0.91111,                0.93056,                0.72356,                0.81491,                0.40385,                 1.9378,                 1.2592,                 1.7028,               0.009406,               0.009406,               0.009406
                      5,                0.55176,                0.41424,                0.87937,                0.30625,                0.12245,                0.12407,                 0.0218,                  2.944,                 5.1673,                 3.3448,               0.009208,               0.009208,               0.009208
                      6,                0.49225,                0.38022,                0.86444,                 0.9648,                0.81818,                0.87929,                0.66604,                 1.0765,                0.82062,                 1.1329,                0.00901,                0.00901,                0.00901
                      7,                0.44787,                0.35099,                0.85313,                0.87143,                 0.9462,                0.87347,                0.64843,                0.91223,                0.52361,                 1.0722,               0.008812,               0.008812,               0.008812
                      8,                0.42504,                 0.3443,                0.84791,                0.99981,                      1,                  0.995,                0.90884,                0.44879,                0.23842,                 0.7971,               0.008614,               0.008614,               0.008614
                      9,                  0.401,                0.32507,                0.84231,                 0.9963,                0.99787,                0.99493,                0.82012,                0.80356,                0.41629,                0.89408,               0.008416,               0.008416,               0.008416
                     10,                0.37793,                0.31284,                0.83543,                0.99985,                      1,                  0.995,                0.95401,                0.38179,                0.23441,                0.78109,               0.008218,               0.008218,               0.008218
                     11,                0.36141,                0.30167,                0.83348,                0.99989,                      1,                  0.995,                0.96739,                0.27969,                0.17151,                0.76518,                0.00802,                0.00802,                0.00802
                     12,                0.34969,                0.29666,                0.83194,                0.99988,                      1,                  0.995,                0.96851,                 0.2906,                0.17531,                0.76265,               0.007822,               0.007822,               0.007822
                     13,                0.33679,                0.28633,                0.82836,                0.99989,                      1,                  0.995,                 0.9694,                0.25877,                0.16965,                0.76033,               0.007624,               0.007624,               0.007624
                     14,                0.32874,                0.28184,                0.82766,                0.99988,                      1,                  0.995,                0.97297,                 0.2606,                0.15685,                 0.7626,               0.007426,               0.007426,               0.007426
                     15,                0.31447,                0.27493,                0.82481,                0.99989,                      1,                  0.995,                0.98447,                0.18984,                0.14863,                0.75254,               0.007228,               0.007228,               0.007228
                     16,                0.30745,                0.26823,                0.82186,                0.99989,                      1,                  0.995,                0.98575,                0.20149,                0.14075,                0.75384,                0.00703,                0.00703,                0.00703
                     17,                0.30033,                0.26567,                0.82121,                0.99989,                      1,                  0.995,                0.97839,                0.20045,                0.14256,                0.75186,               0.006832,               0.006832,               0.006832
                     18,                0.29036,                0.25653,                0.82007,                0.99989,                      1,                  0.995,                 0.9719,                0.25856,                0.15398,                0.75622,               0.006634,               0.006634,               0.006634
                     19,                0.28468,                0.25452,                0.81804,                0.99989,                      1,                  0.995,                 0.9877,                0.16616,                0.12725,                0.74925,               0.006436,               0.006436,               0.006436
