                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0639,                 3.7538,                 1.6939,                0.00332,                0.99544,                0.05789,                0.01248,                 1.9394,                 4.5069,                 1.4747,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.5474,                 2.1805,                 1.3451,                0.00106,                0.31754,                0.00119,                 0.0004,                 3.0146,                 6.4133,                 4.4138,               0.001275,               0.001275,               0.001275
                      3,                  1.426,                 1.6939,                 1.2939,                0.00241,                0.72175,                0.02097,                0.00904,                 2.1191,                 3.5471,                 1.8953,              0.0018542,              0.0018542,              0.0018542
                      4,                 1.2166,                 1.3618,                 1.2034,                0.78389,                0.41614,                0.49995,                0.16264,                 2.3406,                 2.5744,                 2.1274,               0.001802,               0.001802,               0.001802
                      5,                 1.0996,                 1.1446,                  1.128,                0.50549,                0.04825,                0.04561,                0.02269,                  2.786,                 3.8807,                 3.3605,               0.001736,               0.001736,               0.001736
                      6,                 1.0887,                 1.0249,                 1.1113,                0.82495,                0.23579,                0.30583,                0.15052,                 2.2658,                 2.3252,                 2.0995,                0.00167,                0.00167,                0.00167
                      7,                0.97377,                0.88899,                 1.0429,                0.00133,                0.25211,                0.00084,                0.00034,                 2.4386,                 4.2109,                 2.3596,               0.001604,               0.001604,               0.001604
                      8,                0.91528,                0.82026,                 1.0373,                0.00296,                0.36789,                0.09206,                0.04021,                 2.2496,                 3.8029,                 1.9328,               0.001538,               0.001538,               0.001538
                      9,                0.85732,                0.73802,                0.99897,                0.86671,                0.79772,                0.85521,                0.34241,                 2.0929,                 1.2513,                 1.7177,               0.001472,               0.001472,               0.001472
                     10,                0.83603,                0.67579,                0.98489,                0.97757,                0.80175,                0.91845,                0.42135,                 1.9136,                 1.1391,                 1.6379,               0.001406,               0.001406,               0.001406
                     11,                0.80161,                0.66238,                0.97091,                0.96805,                0.24981,                0.63889,                0.22749,                 2.1512,                 3.1316,                 1.8852,                0.00134,                0.00134,                0.00134
                     12,                0.75602,                0.61295,                0.95652,                0.97733,                0.66545,                0.80298,                0.31122,                 2.0835,                 2.0843,                 1.7948,               0.001274,               0.001274,               0.001274
                     13,                0.70902,                0.57171,                0.93934,                0.91702,                0.72515,                0.85645,                0.34343,                 2.1516,                 1.4682,                 1.7654,               0.001208,               0.001208,               0.001208
                     14,                0.68269,                0.58043,                0.92979,                 0.9841,                0.80368,                0.92933,                0.37995,                 2.0409,                 1.1956,                 1.7394,               0.001142,               0.001142,               0.001142
                     15,                0.67156,                0.55158,                0.92431,                0.94384,                0.70468,                0.90399,                0.37951,                 2.1618,                  1.779,                 1.8514,               0.001076,               0.001076,               0.001076
                     16,                0.60805,                0.52319,                0.91432,                0.93075,                0.91722,                0.96232,                0.39071,                 2.1047,                 0.9055,                 1.8352,                0.00101,                0.00101,                0.00101
                     17,                0.61423,                0.50279,                0.91336,                0.90551,                   0.91,                0.94514,                0.38917,                 2.0639,                0.84783,                 1.7512,               0.000944,               0.000944,               0.000944
                     18,                0.61341,                 0.4917,                0.89936,                0.97942,                0.79158,                0.88979,                0.41217,                  2.021,                 1.1606,                 1.6919,               0.000878,               0.000878,               0.000878
                     19,                0.57244,                0.47307,                0.89865,                 0.9624,                0.79934,                0.89003,                0.41235,                 1.9834,                 1.3286,                  1.603,               0.000812,               0.000812,               0.000812
                     20,                0.53633,                0.45864,                0.88213,                0.92247,                0.82454,                0.86551,                0.41623,                 2.0647,                 0.8346,                  1.813,               0.000746,               0.000746,               0.000746
                     21,                0.50131,                0.37884,                0.83412,                0.82472,                0.76684,                0.82367,                0.36205,                 2.1529,                 0.9392,                 1.9353,                0.00068,                0.00068,                0.00068
                     22,                0.47581,                0.36025,                0.83065,                0.92756,                0.81123,                0.86579,                0.39097,                 2.1525,                0.85113,                 1.9514,               0.000614,               0.000614,               0.000614
                     23,                  0.444,                0.34241,                0.83049,                0.92756,                0.80754,                0.90038,                0.40499,                 2.0456,                0.91045,                 1.7605,               0.000548,               0.000548,               0.000548
                     24,                0.41285,                0.32703,                0.81257,                0.98511,                0.80063,                0.90147,                0.40304,                   2.08,                 0.9716,                 1.7728,               0.000482,               0.000482,               0.000482
                     25,                0.38959,                 0.3126,                0.81689,                0.92268,                0.81316,                0.86157,                0.37764,                 2.1485,                0.96736,                 1.8413,               0.000416,               0.000416,               0.000416
                     26,                0.37327,                0.30146,                 0.8118,                0.91968,                0.82298,                0.87946,                0.37616,                 2.0848,                0.90971,                 1.7143,                0.00035,                0.00035,                0.00035
                     27,                0.34962,                0.29008,                 0.8071,                0.93493,                0.84526,                0.88606,                0.39102,                 2.0448,                0.90417,                 1.7746,               0.000284,               0.000284,               0.000284
                     28,                0.33163,                0.27393,                0.79825,                0.93649,                0.84211,                0.89878,                0.40928,                 2.0203,                 0.8601,                 1.8023,               0.000218,               0.000218,               0.000218
                     29,                0.32387,                0.27267,                0.80196,                0.91186,                0.81298,                0.90169,                0.40485,                 2.0589,                0.94482,                 1.8267,               0.000152,               0.000152,               0.000152
                     30,                0.29459,                 0.2572,                0.79318,                0.91778,                0.81719,                0.90932,                0.40053,                  2.076,                0.95075,                 1.8179,                8.6e-05,                8.6e-05,                8.6e-05
