                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5681,                 2.2426,                 1.4171,                0.94471,                0.66565,                0.76586,                 0.3124,                 2.1029,                 2.0783,                  2.048,             0.00066346,             0.00066346,             0.00066346
                      2,                 1.1088,                 1.0642,                 1.1154,                0.69795,                0.63636,                0.73873,                0.37894,                 1.8235,                 1.3699,                 1.7336,              0.0013038,              0.0013038,              0.0013038
                      3,                0.95522,                0.78248,                 1.0376,                0.72174,                0.80844,                0.75493,                0.34389,                 1.8469,                  1.375,                 1.7444,              0.0019177,              0.0019177,              0.0019177
                      4,                0.89411,                0.70865,                 1.0175,                      1,                0.15722,                0.21511,                0.10705,                 2.4314,                 3.0795,                 1.8123,              0.0018812,              0.0018812,              0.0018812
                      5,                0.77376,                0.61606,                0.96667,                0.84383,                0.83117,                0.75549,                0.47679,                 1.4608,                0.78261,                 1.6478,              0.0018416,              0.0018416,              0.0018416
                      6,                0.75189,                0.56925,                0.95658,                 0.7074,                0.34539,                0.33949,                0.18272,                 1.6202,                 2.7301,                 1.5817,               0.001802,               0.001802,               0.001802
                      7,                0.69404,                0.53875,                0.93217,                0.99743,                      1,                0.99496,                0.70764,                0.91356,                0.48358,                 1.0497,              0.0017624,              0.0017624,              0.0017624
                      8,                0.67596,                0.50633,                0.92539,                0.63745,                0.36735,                  0.425,                0.27445,                 1.7293,                 2.1589,                 1.6235,              0.0017228,              0.0017228,              0.0017228
                      9,                0.61216,                0.47922,                0.90198,                0.48831,                0.47866,                0.48589,                0.31973,                 1.5481,                 1.6503,                 1.7091,              0.0016832,              0.0016832,              0.0016832
                     10,                0.57923,                0.45649,                0.88881,                0.91173,                0.93899,                0.93574,                0.62955,                 1.1416,                0.57555,                 1.2003,              0.0016436,              0.0016436,              0.0016436
                     11,                0.56281,                0.44575,                0.88739,                0.99624,                0.98218,                 0.9933,                0.77356,                0.81235,                0.39887,                 1.0098,               0.001604,               0.001604,               0.001604
                     12,                0.52016,                0.42275,                0.87579,                0.97681,                0.99629,                0.99433,                0.77613,                 0.8013,                0.39296,                0.96445,              0.0015644,              0.0015644,              0.0015644
                     13,                0.50543,                0.41657,                0.86991,                0.35442,                0.48052,                0.37944,                0.25509,                  1.495,                 2.2103,                 2.0985,              0.0015248,              0.0015248,              0.0015248
                     14,                0.49395,                0.40538,                0.87178,                0.99622,                0.96475,                0.99386,                0.75308,                 0.8101,                0.40326,                  1.029,              0.0014852,              0.0014852,              0.0014852
                     15,                0.47107,                0.39154,                0.86501,                0.90861,                0.90386,                0.84518,                0.48778,                 1.3625,                0.68091,                 1.5269,              0.0014456,              0.0014456,              0.0014456
                     16,                0.47034,                0.38321,                0.86077,                0.94987,                0.84367,                0.89366,                0.50839,                 1.4735,                 1.0733,                 1.3533,               0.001406,               0.001406,               0.001406
                     17,                0.44102,                  0.371,                0.85503,                0.96113,                0.98516,                0.98688,                0.77116,                0.76169,                 0.4035,                0.98908,              0.0013664,              0.0013664,              0.0013664
                     18,                0.43966,                0.37503,                0.85695,                0.22518,                0.58071,                0.28932,                0.15517,                 1.8489,                 3.7419,                 2.2673,              0.0013268,              0.0013268,              0.0013268
                     19,                0.40526,                0.34715,                0.84201,                      1,                0.98714,                0.99494,                0.78634,                0.72516,                0.35448,                0.97708,              0.0012872,              0.0012872,              0.0012872
                     20,                0.40544,                0.34991,                0.85066,                0.92592,                0.90724,                 0.9237,                0.62046,                 1.0028,                0.61446,                 1.1261,              0.0012476,              0.0012476,              0.0012476
                     21,                0.40256,                0.34262,                0.84048,                0.96026,                0.98626,                0.98991,                0.77794,                0.78062,                0.40987,                0.97305,               0.001208,               0.001208,               0.001208
                     22,                0.39751,                0.33952,                 0.8443,                0.10606,                0.24675,                0.11503,                0.06206,                 2.1577,                 5.0491,                 2.6538,              0.0011684,              0.0011684,              0.0011684
                     23,                0.38431,                0.33718,                0.83891,                0.48281,                0.61596,                0.54088,                 0.4055,                 1.4385,                 1.7125,                 2.0216,              0.0011288,              0.0011288,              0.0011288
                     24,                0.36507,                0.33161,                0.83967,                 0.9996,                      1,                  0.995,                0.83359,                0.70381,                0.33129,                0.95173,              0.0010892,              0.0010892,              0.0010892
                     25,                0.36422,                0.32936,                0.83358,                0.99962,                0.97959,                0.99414,                0.83147,                0.65442,                0.35694,                0.97527,              0.0010496,              0.0010496,              0.0010496
                     26,                0.34907,                0.32276,                0.83415,                0.84806,                0.85714,                0.86272,                0.61827,                 1.1134,                0.83056,                  1.316,                0.00101,                0.00101,                0.00101
                     27,                0.33672,                0.30507,                 0.8297,                0.99771,                      1,                0.99487,                0.83667,                0.64364,                0.31914,                0.93318,              0.0009704,              0.0009704,              0.0009704
                     28,                0.33707,                0.31156,                0.83241,                0.98969,                0.99814,                0.99481,                0.82683,                0.70066,                0.37075,                0.94812,              0.0009308,              0.0009308,              0.0009308
                     29,                0.31903,                0.29916,                0.82469,                0.98989,                0.99629,                0.99391,                0.83491,                0.63807,                0.32899,                0.95304,              0.0008912,              0.0008912,              0.0008912
                     30,                0.31422,                0.29361,                0.82724,                0.89125,                0.94434,                0.92167,                0.70611,                0.92248,                0.48071,                  1.241,              0.0008516,              0.0008516,              0.0008516
                     31,                0.31406,                0.29374,                0.82665,                 0.9907,                0.98835,                0.99466,                0.82145,                0.65286,                  0.325,                0.96425,               0.000812,               0.000812,               0.000812
                     32,                0.29962,                0.28678,                0.82175,                  0.985,                0.98701,                0.99035,                0.82704,                0.65889,                0.31658,                0.97109,              0.0007724,              0.0007724,              0.0007724
                     33,                0.29866,                0.28074,                0.82654,                0.99985,                      1,                  0.995,                0.82578,                0.66489,                0.30933,                0.97318,              0.0007328,              0.0007328,              0.0007328
                     34,                0.29555,                0.27608,                0.82484,                0.99815,                0.99956,                  0.995,                0.82215,                0.66759,                0.31241,                0.96974,              0.0006932,              0.0006932,              0.0006932
                     35,                0.29279,                0.27266,                0.82212,                 0.9996,                      1,                  0.995,                0.83522,                0.62648,                0.29534,                0.93878,              0.0006536,              0.0006536,              0.0006536
                     36,                0.27674,                0.26311,                0.81789,                0.97967,                0.98332,                0.99133,                 0.8189,                0.63284,                0.31171,                0.94032,               0.000614,               0.000614,               0.000614
                     37,                0.27752,                0.26918,                0.82003,                0.99987,                      1,                  0.995,                0.81861,                0.62467,                0.29594,                0.94415,              0.0005744,              0.0005744,              0.0005744
                     38,                0.25937,                0.25954,                0.81678,                  0.998,                0.99814,                0.99496,                0.83229,                0.60785,                0.28799,                0.94739,              0.0005348,              0.0005348,              0.0005348
                     39,                0.26234,                 0.2556,                0.81559,                0.99247,                0.99629,                0.99483,                0.84344,                0.60962,                0.29197,                0.96058,              0.0004952,              0.0004952,              0.0004952
                     40,                0.25864,                0.25461,                0.82147,                  0.998,                0.99814,                0.99498,                0.83353,                0.62216,                0.29629,                0.96661,              0.0004556,              0.0004556,              0.0004556
                     41,                0.23143,                0.17503,                 0.7746,                0.99021,                0.98145,                0.99433,                0.83637,                0.59969,                0.30755,                0.95934,               0.000416,               0.000416,               0.000416
                     42,                0.21688,                0.16818,                0.77263,                0.99533,                0.97588,                0.99447,                0.82801,                0.61487,                0.32292,                0.96827,              0.0003764,              0.0003764,              0.0003764
                     43,                0.21266,                 0.1637,                0.77315,                0.98296,                0.96104,                0.98746,                0.84072,                0.60866,                 0.3467,                0.97091,              0.0003368,              0.0003368,              0.0003368
                     44,                0.20964,                0.15727,                 0.7758,                0.97731,                0.98516,                 0.9869,                0.81791,                0.60048,                0.29844,                0.95438,              0.0002972,              0.0002972,              0.0002972
                     45,                0.19256,                0.15218,                0.76752,                0.99076,                0.99461,                0.99466,                0.82593,                0.62075,                0.31882,                0.96882,              0.0002576,              0.0002576,              0.0002576
                     46,                0.19179,                0.14977,                0.76896,                0.99053,                0.99443,                0.99445,                0.83923,                0.59666,                0.30049,                0.95985,               0.000218,               0.000218,               0.000218
