                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98829,                0.96672,                 1.0462,                0.89914,                0.24399,                0.66829,                0.22632,                  1.925,                  5.068,                 1.6539,              0.0012132,              0.0012132,              0.0012132
                     35,                0.98951,                0.92432,                 1.0529,                 0.8809,                0.36053,                0.69856,                0.25574,                 1.9707,                  3.606,                   1.72,              0.0011994,              0.0011994,              0.0011994
                     36,                0.92856,                0.88571,                 1.0378,                0.84355,                0.53065,                0.62525,                0.20905,                  2.195,                 3.8736,                 1.8355,              0.0011857,              0.0011857,              0.0011857
                     37,                0.96478,                0.89249,                 1.0675,                0.86858,                0.71772,                0.76606,                0.26779,                 2.1892,                 2.8552,                 1.8197,              0.0011719,              0.0011719,              0.0011719
                     38,                0.95111,                0.89033,                 1.0431,                0.74521,                0.62281,                 0.7031,                0.24541,                 2.1299,                 2.9895,                  1.794,              0.0011581,              0.0011581,              0.0011581
                     39,                0.95061,                0.90529,                 1.0604,                0.66512,                0.51649,                0.66934,                0.26122,                 1.9687,                 2.8725,                 1.6661,              0.0011444,              0.0011444,              0.0011444
                     40,                0.96016,                0.85539,                 1.0307,                0.65959,                0.59149,                0.72159,                0.29468,                 1.9351,                 2.7919,                 1.6669,              0.0011306,              0.0011306,              0.0011306
                     41,                 0.8866,                0.84026,                0.99936,                0.71964,                0.55074,                0.73232,                0.29561,                 1.9592,                 3.5727,                 1.6806,              0.0011169,              0.0011169,              0.0011169
                     42,                0.92615,                0.86109,                 1.0261,                0.70768,                0.41623,                0.63351,                0.22161,                 2.1672,                 4.2353,                 1.8598,              0.0011031,              0.0011031,              0.0011031
                     43,                0.85446,                0.81394,                0.99206,                0.70132,                0.38517,                 0.5976,                0.21063,                  2.165,                  4.281,                  1.864,              0.0010894,              0.0010894,              0.0010894
                     44,                0.91321,                0.82247,                  1.017,                0.81429,                0.30078,                0.56597,                 0.2099,                 2.1688,                  5.023,                 1.8322,              0.0010756,              0.0010756,              0.0010756
                     45,                0.83589,                0.77215,                0.99833,                0.85098,                0.32211,                0.69209,                0.23872,                 2.1298,                 4.5578,                  1.832,              0.0010619,              0.0010619,              0.0010619
                     46,                0.81904,                0.74156,                 0.9874,                0.77334,                0.40789,                0.69057,                0.27606,                 2.0609,                 4.2646,                 1.7789,              0.0010481,              0.0010481,              0.0010481
                     47,                0.87197,                 0.7587,                0.98756,                0.81749,                0.37483,                0.70672,                0.31727,                  1.904,                 4.9365,                 1.6698,              0.0010344,              0.0010344,              0.0010344
                     48,                0.81311,                0.71789,                0.97487,                0.60933,                 0.3007,                0.55597,                 0.2665,                 1.8661,                 5.4238,                 1.6178,              0.0010206,              0.0010206,              0.0010206
                     49,                0.79419,                0.71675,                0.98165,                0.85526,                0.19053,                0.51761,                0.24047,                 1.9323,                  5.686,                 1.6648,              0.0010069,              0.0010069,              0.0010069
                     50,                0.80897,                0.71926,                0.98483,                 0.9795,                0.13368,                0.41155,                0.18671,                 1.9562,                 6.3832,                 1.7105,             0.00099312,             0.00099312,             0.00099312
                     51,                0.80496,                0.72759,                0.98438,                0.81924,                0.16698,                0.31887,                0.15459,                 1.9239,                 5.6854,                 1.7126,             0.00097936,             0.00097936,             0.00097936
                     52,                0.78382,                0.71096,                0.96076,                0.63593,                0.11105,                0.20406,                0.10924,                 2.0177,                 6.2381,                 1.7743,             0.00096561,             0.00096561,             0.00096561
                     53,                0.72268,                0.67326,                0.92889,                0.84354,                 0.3424,                0.69111,                0.24259,                 2.2188,                 3.5305,                 1.8518,             0.00095186,             0.00095186,             0.00095186
                     54,                0.76292,                0.69929,                0.96285,                0.92072,                 0.1893,                0.58503,                0.22391,                 2.2603,                 3.8486,                 1.9031,              0.0009381,              0.0009381,              0.0009381
                     55,                0.82799,                0.72002,                0.96248,                0.97824,                0.18927,                0.44964,                0.17625,                 2.2261,                 4.6982,                  1.907,             0.00092435,             0.00092435,             0.00092435
                     56,                0.78922,                 0.6636,                0.97197,                0.98921,                0.16084,                0.48884,                0.20344,                 2.1936,                  4.445,                 1.8723,              0.0009106,              0.0009106,              0.0009106
                     57,                0.80749,                0.74247,                0.99056,                0.98357,                0.18211,                0.48071,                0.19705,                 2.2673,                 4.3531,                 1.9421,             0.00089685,             0.00089685,             0.00089685
                     58,                0.75409,                0.66106,                0.93992,                0.05479,                0.49807,                0.32363,                0.10796,                 2.2295,                 5.5921,                 1.9624,             0.00088309,             0.00088309,             0.00088309
                     59,                0.76045,                0.64591,                0.94944,                0.98465,                0.11252,                 0.2639,                0.08197,                 2.1596,                 6.2414,                 1.9202,             0.00086934,             0.00086934,             0.00086934
                     60,                0.73984,                 0.6364,                0.94654,                0.99089,                 0.1145,                0.23562,                0.05339,                 2.3432,                 5.7941,                 2.0665,             0.00085559,             0.00085559,             0.00085559
                     61,                0.73693,                0.64225,                0.93766,                0.99634,                0.09542,                0.30713,                0.08299,                 2.3197,                 5.3143,                 2.0303,             0.00084184,             0.00084184,             0.00084184
                     62,                0.72509,                0.64081,                0.94493,                0.99812,                0.18653,                0.38135,                0.13273,                 2.2418,                  5.641,                 1.9382,             0.00082808,             0.00082808,             0.00082808
                     63,                0.73428,                0.64207,                0.95007,                  0.984,                0.24822,                 0.4443,                0.17346,                 2.1574,                 5.3018,                 1.8718,             0.00081433,             0.00081433,             0.00081433
                     64,                0.72474,                 0.6052,                0.94186,                 0.9442,                0.23749,                0.44886,                0.14602,                 2.3165,                 5.4292,                 1.9883,             0.00080058,             0.00080058,             0.00080058
                     65,                0.73683,                0.62221,                0.96083,                0.82248,                0.30644,                0.49763,                0.18049,                 2.1729,                 5.2164,                 1.9074,             0.00078682,             0.00078682,             0.00078682
